哀感顽艳,āi gǎn wán yàn,顽：愚顽。原意是指内容凄切，文辞华丽，使愚笨和聪慧的人同样受感动。后多用来指艳情的小说、戏曲、电影中的感人情节。,,,,,,,,,,,,,,,,,,,,,,,
哀鸿遍地,āi hóng biàn dì,哀鸿：哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,,,,,,,,,,,,,,,,,,,,,,,
哀哀父母,āi āi fù mǔ,可哀呀可哀，我的父母啊！原指古时在暴政下的人民终年在外服劳役，对父母病痛、老死不能照料而悲哀。,,,,,,,,,,,,,,,,,,,,,,,
哀毁骨立,āi huǐ gǔ lì,哀：悲哀；毁：损坏身体；骨立：形容极瘦，只剩下骨架。旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。,,,,,,,,,,,,,,,,,,,,,,,
哀梨蒸食,āi lí zhēng shí,将哀梨蒸着吃。比喻不识货。糊里糊涂地糟蹋好东西。,,,,,,,,,,,,,,,,,,,,,,,
哀痛欲绝,āi tòng yù jué,伤心得要死。形容悲痛到了极点。,,,,,,,,,,,,,,,,,,,,,,,
哀丝豪竹,āi sī háo zhú,丝：指弦乐器；竹：指管乐器；豪竹：粗大的竹管制成的乐器。形容管弦乐声的悲壮动人。,,,,,,,,,,,,,,,,,,,,,,,
哀哀欲绝,āi āi yù jué,哀哀：极度悲哀；绝：断气，死。形容极其悲痛。,,,,,,,,,,,,,,,,,,,,,,,
哀思如潮,āi sī rú cháo,哀伤的思绪如同潮涌一般。形容极度悲痛。,,,,,,,,,,,,,,,,,,,,,,,
哀感中年,āi gǎn zhōng nián,形容人到中年对亲友离别的伤感情绪。,,,,,,,,,,,,,,,,,,,,,,,
哀告宾服,āi gào bīn fú,宾服：古指诸侯或边远部落按时朝贡，表示依服、服从。后泛指归顺、服从。指哀求饶恕，愿意服从。,,,,,,,,,,,,,,,,,,,,,,,
哀毁瘠立,āi huǐ jī lì,旧时形容在父母丧中因过度悲伤而瘦得只剩一把骨头。,,,,,,,,,,,,,,,,,,,,,,,
哀感天地,āi gǎn tiān dì,形容极其哀痛，使天地都为之感动。,,,,,,,,,,,,,,,,,,,,,,,
哀天叫地,āi tiān jiào dì,哀：悲哀。悲哀地呼天喊地。形容悲痛至极。,,,,,,,,,,,,,,,,,,,,,,,
祛蠹除奸,qū dù chú jiān,驱除祸害，消除奸佞。,,,,,,,,,,,,,,,,,,,,,,,
祛病延年,qū bìng yán nián,祛：除去。除去疾病，延长寿命。,,,,,,,,,,,,,,,,,,,,,,,
骁勇善战,xiāo yǒng shàn zhàn,勇猛，善于战斗。,,,,,,,,,,,,,,,,,,,,,,,
锱铢必较,zī zhū bì jiào,锱、铢：都是古代很小的重量单位。形容非常小气，很少的钱也一定要计较。也比喻气量狭小，很小的事也要计较。,,,,,,,,,,,,,,,,,,,,,,,
锱珠必较,zī zhū bì jiào,形容非常小气，很少的钱也一定要计较。也比喻气量狭小，很小的事也要计较。,,,,,,,,,,,,,,,,,,,,,,,
锱铢较量,zī zhū jiào liàng,指对很少的钱或很小的事，都十分计较。,,,,,,,,,,,,,,,,,,,,,,,
锱铢不爽,zī zhū bù shuǎng,犹言分毫不差。,,,,,,,,,,,,,,,,,,,,,,,
攀龙附凤,pān lóng fù fèng,指巴结投靠有权势的人以获取富贵。,,,,,,,,,,,,,,,,,,,,,,,
攀蟾折桂,pān chán shé guì,攀登蟾宫，折取月桂。喻科举登第。,,,,,,,,,,,,,,,,,,,,,,,
攀花折柳,pān huā shé liǔ,比喻狎妓。,,,,,,,,,,,,,,,,,,,,,,,
攀花问柳,pān huā wèn liǔ,比喻狎妓。同“攀花折柳”。,,,,,,,,,,,,,,,,,,,,,,,
攀高结贵,pān gāo jié guì,指攀附结交高贵的人。同“攀高接贵”。,,,,,,,,,,,,,,,,,,,,,,,
攀辕卧辙,pān yuán wò zhé,拉住车辕，躺在车道上，不让车走。旧时用作挽留好官的谀词。,,,,,,,,,,,,,,,,,,,,,,,
攀龙附骥,pān lóng fù jì,攀：攀附；骥：好马。比喻攀附圣贤，归附俊杰。,,,,,,,,,,,,,,,,,,,,,,,
攀藤揽葛,pān téng lǎn gě,手拉葛藤向上。形容在险峻的山路上攀登。亦作“攀藤附葛”。,,,,,,,,,,,,,,,,,,,,,,,
攀今吊古,pān jīn diào gǔ,犹言谈今说古。从今到古无所不谈，无不评论。,,,,,,,,,,,,,,,,,,,,,,,
攀龙托凤,pān lóng tuō fèng,犹言攀龙附凤。 南朝 梁 锺嵘 《诗品》卷上：“次有攀龍託鳳，自致于屬車者，蓋將百計。”,,,,,,,,,,,,,,,,,,,,,,,
攀今揽古,pān jīn lǎn gǔ,从今到古无所不谈，无不评论。同“攀今揽古”。,,,,,,,,,,,,,,,,,,,,,,,
攀龙讬凤,pān lóng xiù fèng,犹言攀龙附凤。指巴结投靠有权势的人以获取富贵。,,,,,,,,,,,,,,,,,,,,,,,
攀藤附葛,pān téng fù gě,攀附着藤葛前进。极言道路艰难。,,,,,,,,,,,,,,,,,,,,,,,
攀车卧辙,pān chē wò zhé,拉住车辕，躺在车道上，不让车走。旧时用作挽留好官的谀词。同“攀辕卧辙”。,,,,,,,,,,,,,,,,,,,,,,,
攀今擥古,pān jīn lǎn gǔ,见“ 攀今攬古 ”。,,,,,,,,,,,,,,,,,,,,,,,
攀今掉古,pān jīn diào gǔ,从今到古无所不谈，无不评论。同“攀今吊古”。,,,,,,,,,,,,,,,,,,,,,,,
攀鳞附翼,pān lín fù yì,犹言攀龙附凤。指巴结投靠有权势的人以获取富贵。,,,,,,,,,,,,,,,,,,,,,,,
攀炎附热,pān yán fù rè,犹言趋炎附势。奉承和依附有权有势的人。,,,,,,,,,,,,,,,,,,,,,,,
攀高接贵,pān gāo jiē guì,指攀附结交高贵的人。,,,,,,,,,,,,,,,,,,,,,,,
爱屋及乌,ài wū jí wū,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,,,,,,,,,,,,,,,,,,,,,,,
爱莫能助,ài mò néng zhù,爱：爱惜；莫：不。虽然心中关切同情，却没有力量帮助。,,,,,,,,,,,,,,,,,,,,,,,
爱不释手,ài bù shì shǒu,释：放下。喜爱得舍不得放手。,,,,,,,,,,,,,,,,,,,,,,,
爱之欲其生，恶之欲其死,ài zhī yù qí shēng，wù zhī yù qí sǐ,喜爱他时，总想叫他活着；讨厌他时，总想叫他死掉。指极度地凭个人爱憎对待人。,,,,,,,,,,,,,,,,,,,,,,,
爱憎分明,ài zēng fēn míng,憎：恨。爱和恨的立场和态度十分鲜明。,,,,,,,,,,,,,,,,,,,,,,,
爱惜羽毛,ài xī yǔ máo,羽毛：比喻人的声望。比喻为珍惜自己的名声，行事十分谨慎。,,,,,,,,,,,,,,,,,,,,,,,
爱毛反裘,ài máo fǎn qiú,反裘：反穿皮衣，指皮毛朝里。古时穿皮毛衣服，毛的一面向外。比喻不重视根本，轻重倒置。,,,,,,,,,,,,,,,,,,,,,,,
爱鹤失众,ài hè shī zhòng,比喻因小失大。,,,,,,,,,,,,,,,,,,,,,,,
爱则加诸膝，恶则坠诸渊,ài zé jiā zhū xī，wù zé zhuì zhū yuān,加诸膝：放在膝盖上；坠诸渊：推进深渊里。意指不讲原则，感情用事，对别人的爱憎态度，全凭自己的好恶来决定。,,,,,,,,,,,,,,,,,,,,,,,
爱如己出,ài rú jǐ chū,像对待亲生子女那样地爱护。,,,,,,,,,,,,,,,,,,,,,,,
爱人以德,ài rén yǐ dé,爱人：爱护别人；德：德行。按照道德标准去爱护人。泛指对人不偏私偏爱，不姑息迁就。,,,,,,,,,,,,,,,,,,,,,,,
爱博而情不专,ài bó ér qíng bù zhuān,对人或事物的喜爱很广泛，而感情不能专一。,,,,,,,,,,,,,,,,,,,,,,,
爱别离苦,ài bié lí kǔ,佛家语，指亲爱的人离别的痛苦。,,,,,,,,,,,,,,,,,,,,,,,
